Dataset Perc	R2 score	RMSE	MAE	MAX error
100	0.5530324194642935	0.05855659896652738	0.01786194486430355	1.0132550445914088
100	0.35555123456996673	0.06862835040993659	0.018412734968787953	1.3086521484861464
100	0.5042799782639853	0.05786968921926676	0.018258798085867996	0.8870912647793694
100	0.9380639407866768	0.08540083294134318	0.0201189007112576	1.790197352829118
100	0.7906799730550339	0.1003945878558273	0.020397507461470222	2.1211249829356884
20	0.9746059449386341	0.5239934595696293	0.07177751393866674	8.172960177213824
20	0.9648175257093397	0.35834676276054267	0.055190587491807254	5.949466655315658
20	0.923586088539648	0.4021604362126475	0.06293500047139278	6.220013274483847
20	0.7404976351611717	0.6328971500661628	0.09560972014643906	9.632308176608733
20	0.9356290087190339	0.5595383624351593	0.07668436740254449	8.6461582544801
