Model	Size	R2	RMSE	MAE	MAXE	RMSCE	Sharpness	ECE	NLL
fo	100	0.5486258927778134	0.0574909432018032	0.003305208550232962	0.9880773352297654        	0.0747125893831253	0.03645200589663431	0.06523686647415161	-3.7503523250066033
fo	100	0.37777961711290176	0.06803103467895906	0.004628221679489731	1.305206836514401        	0.04506648704409599	0.14851843807198956	0.03728553652763367	-3.813429402360093
fo	100	0.6933598197271791	0.11025295774320162	0.012155714691124203	1.317646658135061        	0.04005516692996025	0.04836841686156777	0.030224783346056938	-3.5599787341243654
fo	100	0.9358080183107139	0.08575105537801536	0.007353243498443458	1.7981766780948565        	0.08400189131498337	0.0801855401226625	0.076811783015728	-3.6548302519729465
fo	100	0.7876033796435316	0.09901315428450415	0.009803604721367022	2.1086672343945114        	0.029674991965293884	0.09305768358460277	0.027389388531446457	-3.745248199395757
fo	20	0.8619726540042046	0.20963782583689877	0.0439480180216219	3.441183082317659        	0.12852968275547028	0.4256903377915652	0.11442737281322479	-3.196699159183053
fo	20	0.9616209080186782	0.4579413212348448	0.2097102536943153	7.499839451787562        	0.14755581319332123	0.6010516440576918	0.13372598588466644	-3.263549842719755
fo	20	0.9183278416484423	0.36907201078581825	0.13621414914548716	6.338166482902273        	0.13973326981067657	0.4959527384894251	0.12465784698724747	-3.333320893522625
fo	20	0.7779411869868893	0.29800200825873085	0.0888051969262367	4.9144661794180236        	0.11837595701217651	0.49214829570920743	0.10360078513622284	-3.234964357714438
fo	20	0.9286836219353871	0.4929004286722241	0.2429508325852623	8.69105138275028        	0.14005233347415924	0.4044217398358451	0.12395219504833221	-3.2111998998186864
hnn	100	0.896183506658643	0.03167764785620513	0.0010034733737017375	0.6776221977555252        	0.07285130023956299	0.055968584261905846	0.0635211244225502	-4.251388684549748
hnn	100	0.26264771455404956	0.03428286628985589	0.0011753149210481373	0.7084431231696775        	0.10734622180461884	0.04257708345121167	0.0972215086221695	-4.376158897448018
hnn	100	0.30101816261282355	0.03464564625057509	0.001200320804119988	0.5265454234109419        	0.08784965425729752	0.06874179327938283	0.07771659642457962	-4.313069869095245
hnn	100	0.7179335600419459	0.021989180576648226	0.00048352406243244364	0.2657458273137365        	0.09714066982269287	0.02618082956995316	0.08685445785522461	-4.341138802273863
hnn	100	0.7905450718587909	0.03542852132397404	0.0012551801232032834	0.7714952625427003        	0.1293107569217682	0.059960821761512455	0.11562099307775497	-4.391608045617917
hnn	20	0.8459643105252322	0.13517359088487066	0.01827189967271039	2.447789097438621        	0.0704735666513443	0.18003561855861036	0.06305306404829025	-3.6167397269881536
hnn	20	0.2337525292941205	0.06794780600760807	0.004616904341247539	1.0175344342258978        	0.08528502285480499	0.0512454444467073	0.07183098047971725	-3.5758489048117204
hnn	20	0.5908181095627465	0.13762970908883643	0.018941936823877747	2.377172660050028        	0.016364680603146553	0.05884597016640823	0.012606344185769558	-2.944202015044255
hnn	20	0.5324846810634776	0.08717641360996296	0.0075997270898953365	1.4465887971778106        	0.05109165236353874	0.10956583682075373	0.04206714779138565	-3.7070850363135555
hnn	20	0.3347479004228511	0.12028108910307429	0.014467540395821696	1.3447025379743849        	0.12775303423404694	0.06663097540160924	0.11065585911273956	-3.410775765159072
lrt	100	0.7317439447034968	0.05988923133028846	0.0035867200293328043	1.0486183825968869        	0.027882417663931847	0.1546715936038437	0.020660124719142914	-3.898003861787258
lrt	100	0.6953202591524033	0.06183356473756293	0.0038233897281543857	0.9648981158285466        	0.09172248095273972	0.11144120244561616	0.08176126331090927	-4.050429989618675
lrt	100	0.5657284534830811	0.042586793681691076	0.0018136349960869227	0.8006919765669469        	0.07194638252258301	0.050749982506209594	0.06248399242758751	-3.861964227101278
lrt	100	0.9788733782971863	0.21813867162609937	0.047584480058799214	4.112862046344944        	0.10545936226844788	0.2069120649265026	0.09370037913322449	-3.909330819597997
lrt	100	0.751507911733458	0.04730849472542959	0.002238093673185999	0.6847025509686095        	0.09659340232610703	0.06640019081701969	0.08655569702386856	-3.882613644066409
lrt	20	0.8911323512635766	0.17153953025701277	0.029425810440796597	3.0869576458802683        	0.08273843675851822	0.21447462742755158	0.07249680161476135	-3.3307247515457052
lrt	20	0.7894861596606793	0.14697204762145222	0.021600782782042416	2.36252832328932        	0.08897751569747925	0.15592280702023162	0.07940673828125	-3.4769654981106575
lrt	20	0.7548136535391807	0.3012258352482587	0.0907370038210111	5.129131224347411        	0.1260206252336502	0.5148134844264917	0.11246691644191742	-3.370740006824274
lrt	20	0.47865962765471937	0.1004531158213851	0.010090828478224607	1.3142932510431167        	0.049269940704107285	0.09167167816105544	0.04332053288817406	-3.3730437546178336
lrt	20	0.5398300230837343	0.09546245302805542	0.009113079938133688	1.6126189323084197        	0.06254177540540695	0.07177582297629291	0.05486982315778732	-3.279112363197766
rad	100	0.7387273531514693	0.07544757632141938	0.005692336772776403	1.3118381357855835        	0.09466572850942612	0.05658205073699619	0.08377719670534134	-3.67895186896167
rad	100	0.7182423601039268	0.1575224753199183	0.024813330230914275	2.449194431391108        	0.07308114320039749	0.1784090233949404	0.0652240738272667	-3.684963979142403
rad	100	0.7607149406189698	0.13040042391215428	0.017004270556469536	2.5368065616383824        	0.05544006824493408	0.10375898156658482	0.04722151160240173	-3.698884685284705
rad	100	0.5261761888359269	0.05374035131747787	0.0028880253597259454	1.0407920093585443        	0.07165654003620148	0.04942780675183906	0.0616033561527729	-3.8178596468134596
rad	100	0.7417475720253134	0.10412076430543973	0.010841133559548934	2.41425597781304        	0.041768889874219894	0.05586700788924695	0.03582444041967392	-3.4553018988591364
rad	20	0.8747724918052319	0.29953059485513955	0.08971857725427376	4.980446610585963        	0.08201426267623901	0.27661426908352116	0.07155356556177139	-3.30304841578028
rad	20	0.2819574900963763	0.06892961249707807	0.004751291478997342	1.0866582630149368        	0.11608358472585678	0.06432102182015903	0.10263337194919586	-3.39278453930011
rad	20	0.6414668212233283	0.08494068056967775	0.007214919215640032	1.0877233140310627        	0.029393155127763748	0.05665593196969443	0.0267904382199049	-3.164479481198732
rad	20	0.9107250438615688	0.14516156784460876	0.021071880779104955	2.8439036526702743        	0.05874142050743103	0.15952666236439347	0.055006399750709534	-3.602613932723877
rad	20	0.7996044144159685	0.10197079145660372	0.010398042310286165	1.1481448184899623        	0.08712784945964813	0.12781665242439189	0.07429363578557968	-3.674607996684025
de	100	0.4521745950113989	0.012524963658640002	0.00015687471465025273	0.24466208547853752        	0.055091213434934616	0.027720479552801897	0.04653577879071236	-4.644680283060646
de	100	0.6278300071374037	0.013190641158102312	0.0001739930141618227	0.15664719830270046        	0.06136797368526459	0.028844330842690988	0.053856879472732544	-4.706458388036394
de	100	0.5368660144278372	0.012442575152943934	0.00015481767643665776	0.20813823180099833        	0.03828361630439758	0.02356063983277582	0.03312704712152481	-4.623484974864532
de	100	0.37353004782469423	0.010661222215241312	0.00011366165912275489	0.1490953669716637        	0.05343274027109146	0.02734191014551723	0.04650021716952324	-4.653177986904504
de	100	0.5760072968171259	0.011478800196204125	0.00013176285394437585	0.16585061472831875        	0.046346161514520645	0.026564158842594932	0.03975672274827957	-4.598727984887046
de	20	0.6214568707675131	0.0834043701530305	0.006956288960623725	1.128350846412875        	0.125854954123497	0.17540023626330906	0.10952908545732498	-3.7087284179514395
